年_Year,高中職_男_Senior_high_and_vocational_Male,高中職_高中_男_Senior_high_and_vocational_Senior_high_Male,高中職_高職_男_Senior_high_and_vocational_Vocational_Male,高中職_女_Senior_high_and_vocational_Female,高中職_高中_女_Senior_high_and_vocational_Senior_high_Female,高中職_高職_女_Senior_high_and_vocational_Vocational_Female
 1978,1112,499,612,877,334,543
 1979,1187,521,666,966,355,611
 1980,1285,567,718,1099,401,698
 1981,1353,582,771,1170,415,754
 1982,1449,594,855,1283,446,837
 1983,1529,593,936,1378,444,935
 1984,1604,614,990,1470,459,1011
 1985,1690,627,1063,1565,474,1091
 1986,1779,642,1137,1687,500,1187
 1987,1871,663,1208,1779,517,1262
 1988,1961,699,1262,1882,544,1338
 1989,2042,720,1322,1977,572,1405
 1990,2128,762,1366,2065,623,1442
 1991,2195,801,1394,2139,652,1487
 1992,2276,801,1475,2237,659,1578
 1993,2394,817,1577,2346,672,1674
 1994,2465,817,1648,2427,684,1743
 1995,2535,821,1714,2499,679,1820
 1996,2638,840,1798,2583,692,1891
 1997,2639,863,1776,2611,723,1888
 1998,2717,910,1807,2708,762,1947
 1999,2796,930,1865,2790,778,2013
 2000,2844,950,1894,2843,796,2047
 2001,2884,974,1910,2904,815,2088
 2002,2915,992,1922,2965,833,2132
 2003,2929,986,1943,2995,843,2152
 2004,2934,983,1952,3020,845,2175
 2005,2937,974,1963,3014,840,2173
 2006,2948,971,1977,3029,847,2181
 2007,2976,974,2002,3037,855,2182
 2008,2985,967,2018,3038,854,2184
 2009,2998,968,2030,3048,864,2185
 2010,3020,978,2043,3075,885,2191
 2011,3033,989,2044,3098,904,2194
 2012,3061,1004,2057,3098,916,2182
 2013,3091,1019,2072,3086,926,2160
 2014,3114,1024,2091,3069,938,2131
 2015,3138,1022,2116,3050,947,2103
 2016,3145,1015,2130,3039,950,2089
 2017,3140,1005,2135,3027,953,2073
 2018,3123,1001,2122,3023,954,2069
 2019,3109,999,2110,3011,948,2062
