按年月別分_Year_and_month,總計_Total,男_Male,女_Female
 1978,6231,4183,2048
 1979,6432,4306,2126
 1980,6547,4357,2191
 1981,6672,4448,2224
 1982,6811,4509,2301
 1983,7070,4561,2509
 1984,7308,4661,2647
 1985,7428,4719,2709
 1986,7733,4821,2912
 1987,8022,4966,3057
 1988,8107,5043,3064
 1989,8258,5149,3110
 1990,8283,5175,3108
 1991,8439,5274,3165
 1992,8632,5380,3252
 1993,8745,5422,3323
 1994,8939,5511,3428
 1995,9045,5558,3487
 1996,9068,5508,3560
 1997,9176,5562,3613
 1998,9289,5610,3679
 1999,9385,5624,3761
 2000,9491,5670,3821
 2001,9383,5553,3830
 2002,9454,5547,3907
 2003,9573,5579,3994
 2004,9786,5680,4106
 2005,9942,5753,4190
 2006,10111,5810,4301
 2007,10294,5868,4426
 2008,10403,5902,4501
 2009,10279,5776,4502
 2010,10493,5880,4613
 2011,10709,6006,4702
 2012,10860,6083,4777
 2013,10967,6116,4851
 2014,11079,6166,4913
 2015,11198,6234,4964
 2016,11267,6267,5000
 2017,11352,6305,5047
 2018,11434,6346,5089
 2019,11500,6376,5124
